SPECIES	ABUNDANCE	LATIN	COMMON	SP_CODE
15580	1	Pomacentridae	Damselfish	251    Pomacentridae
31144	2	Halimeda opuntia	Green algae - calcified	210    Halimeda opuntia
7097	1	Dictyosphaeria cavernosa	Green algae - bubble like	715    Dictyosphaeria cavernosa
58682	2	Chromis cyanea	Blue chromis	658    Chromis cyanea
63439	3		Branching rods	662    Branching rods
63440	3		Branching plumes	663    Branching plumes
10527	1	Serranida	Hamlets/Seabass	174    Serranida
33747	1	Chaetodon capistratus	Foureye butterflyfish	604    Chaetodon capistratus
53719	2	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
53720	2	Siderastrea siderea	Smooth starlet coral	403    Siderastrea siderea
66553	1	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
67485	2	Caulerpa sp.	Green algae - brush like	191    Caulerpa sp.
68568	1	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
73686	2	Stegastes partitus	Bicolor damselfish	455    Stegastes partitus
5196	3	Diploria labyrinthiformis	Grooved brain coral	105    Diploria labyrinthiformis
5206	2		Sea fans	118    Sea fans
23578	2	Millepora sp	Fire 'coral'	117    Millepora sp
34493	2	Agaricia	Sheet coral	672    Agaricia
34503	2		Sponges - encrusting	40     Sponges - encrusting
1938	1	Agaricia	Sheet coral	672    Agaricia
2038	3	Pomadasyidae	Grunt	647    Pomadasyidae
48644	1	Stegastes planifrons	Threespot damselfish	456    Stegastes planifrons
53537	2		Branching rods	662    Branching rods
72113	2	Meandrina meandrites	Butterprint coral	342    Meandrina meandrites
13336	1	Dichocoenia stokesii	Elliptical star coral	112    Dichocoenia stokesii
11365	2	Halimeda copiosa	Green algae - calcified	213    Halimeda copiosa
22628	1	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
24198	1	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
24208	3		Sponges - ball	675    Sponges - ball
27575	2	Udotea cyathiformis	Green algae - cup like	205    Udotea cyathiformis
9438	3	Acanthuridae	Surgeonfish	160    Acanthuridae
54652	2	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
54755	1	Diploria labyrinthiformis	Grooved brain coral	105    Diploria labyrinthiformis
56954	1	Porites porites	Club finger coral	56     Porites porites
57054	1	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
1754	4	Lobophora variegata	Brown algae - blade like	227    Lobophora variegata
17371	1	Halimeda opuntia	Green algae - calcified	210    Halimeda opuntia
42533	2	Dichocoenia stokesii	Elliptical star coral	112    Dichocoenia stokesii
45234	1		Bi-valve	641    Bi-valve
52931	1	Isophyllastrea rigida	Rough star coral	421    Isophyllastrea rigida
53031	2	Rhipocephalus phoenix	Green algae - brush like	194    Rhipocephalus phoenix
54485	2	Turbinaria sp.	Brown algae - pyramid like	223    Turbinaria sp.
59853	2	Mycetophyllia aliciae	Thin fungus coral	419    Mycetophyllia aliciae
60853	2	Lobophora variegata	Brown algae - blade like	227    Lobophora variegata
62338	1	Halimeda incrassata	Green algae - calcified	209    Halimeda incrassata
66483	3	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
72117	3	Gorgonia ventalina	Common sea fan	664    Gorgonia ventalina
492	1	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
502	3	Halimeda opuntia	Green algae - calcified	210    Halimeda opuntia
9698	2	Siderastrea sp	Starlet coral	115    Siderastrea sp
9708	1		Sponges - sheet like	125    Sponges - sheet like
12116	2	Penicillus dumetosus	Green algae - brush like	196    Penicillus dumetosus
18938	1	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
19038	2		Sponges - tube	123    Sponges - tube
20038	4	Agaricia tenuifolia	Ribbon coral	107    Agaricia tenuifolia
31265	1	Halimeda incrassata	Green algae - calcified	209    Halimeda incrassata
32886	1	Halimeda incrassata	Green algae - calcified	209    Halimeda incrassata
24271	1	Lachnolaimus maximus	Hogfish	71     Lachnolaimus maximus
28423	2	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
41818	1	Hypoplectrus indigo	Indigo hamlet	460    Hypoplectrus indigo
67436	1	Stegastes diencaeus	Longfin damselfish	508    Stegastes diencaeus
72581	2	Palythoa caribaeorum	False coral	45     Palythoa caribaeorum
24475	1	Mycetophyllia aliciae	Thin fungus coral	419    Mycetophyllia aliciae
26154	1	Chromis cyanea	Blue chromis	658    Chromis cyanea
14960	1		Sponges - vase	122    Sponges - vase
15059	1		Sponges - vase	122    Sponges - vase
15060	2		Sponges - tube	123    Sponges - tube
38799	1	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
38809	1	Acropora cervicornis	Staghorn coral	102    Acropora cervicornis
38810	3	Acropora prolifera	Fused staghorn	55     Acropora prolifera
43339	2	Porites furcata	Finger coral	111    Porites furcata
43340	3	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
53	1	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
14959	1		Encrusting soft coral	762    Encrusting soft coral
19135	2	Acanthurus coeruleus	Blue tang	428    Acanthurus coeruleus
20135	2	Siderastrea sp	Starlet coral	115    Siderastrea sp
14143	1	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
32868	1	Acanthurus chirurgus	Doctorfish	427    Acanthurus chirurgus
45815	1	Sargassum sp.	Brown algae	230    Sargassum sp.
34781	1	Davidaster rubiginosa	Golden crinoid	626    Davidaster rubiginosa
55333	1	Acropora palmata	Elkhorn coral	101    Acropora palmata
55517	1	Serranus tigrinus	Harlequin bass	474    Serranus tigrinus
8643	2		Sponges - vase	122    Sponges - vase
25951	2	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
26051	1	Dichocoenia stokesii	Elliptical star coral	112    Dichocoenia stokesii
33637	1	Dendrogyra cylindrus	Pillar coral	110    Dendrogyra cylindrus
44429	2	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
44430	2	Diploria labyrinthiformis	Grooved brain coral	105    Diploria labyrinthiformis
49271	2	Sparidae	Porgy	745    Sparidae
50271	2	Thalassoma bifasciatum	Bluehead wrasse	489    Thalassoma bifasciatum
62268	1	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
64762	2	Acropora cervicornis	Staghorn coral	102    Acropora cervicornis
8537	1	Penicillus dumetosus	Green algae - brush like	196    Penicillus dumetosus
9540	2	Gobiidae	Gobies	166    Gobiidae
10499	2	Porites furcata	Finger coral	111    Porites furcata
10509	3	Gorgonion	Branching gorgonion	59     Gorgonion
10510	1		Sponges - branching	124    Sponges - branching
13217	2	Halilchoeres maculipinna	Clown wrasse	490    Halilchoeres maculipinna
27878	2		Sponges - encrusting	40     Sponges - encrusting
6991	3	Penicillus dumetosus	Green algae - brush like	196    Penicillus dumetosus
7091	1	Penicillus capitatus	Green algae - brush like	195    Penicillus capitatus
7101	2	Dictyota sp.	Brown algae - fine branched	225    Dictyota sp.
9539	2	Rhodophycota	Red algae - coarse branched	217    Rhodophycota
49448	2	Halichoeres garnoti	Yellowhead wrasse	488    Halichoeres garnoti
50448	2	Dictyota sp.	Brown algae - fine branched	225    Dictyota sp.
56895	1	Porites astreoides	Mustard hill coral	116    Porites astreoides
56905	1	Millepora sp	Fire 'coral'	117    Millepora sp
57005	2	Haemulon flavolineatum	French grunt	445    Haemulon flavolineatum
69918	1	Epinephelus striatus	Nassau grouper	464    Epinephelus striatus
70918	1	Anisotremus virginicus	Porkfish	450    Anisotremus virginicus
71018	2	Scarus taeniopterus	Princess parrotfish	480    Scarus taeniopterus
72639	1	Holacanthus tricolor	Rock beauty	281    Holacanthus tricolor
72640	1	Acanthurus chirurgus	Doctorfish	427    Acanthurus chirurgus
73488	1	Sabellidae	Feather duster worm	60     Sabellidae
13321	1	Penicillus capitatus	Green algae - brush like	195    Penicillus capitatus
22574	2	Porites astreoides	Mustard hill coral	116    Porites astreoides
7845	3	Millepora sp	Fire 'coral'	117    Millepora sp
14669	1		Sponges - vase	122    Sponges - vase
14670	1		Sponges - tube	123    Sponges - tube
39849	1	Penicillus capitatus	Green algae - brush like	195    Penicillus capitatus
39850	2	Penicillus pyriformis	Green algae - brush like	197    Penicillus pyriformis
40849	3	Udotea flabellum	Green algae - blade like	201    Udotea flabellum
40850	2	Chlorophycota	Green algae - calcified	207    Chlorophycota
57831	1	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
25385	2		Sponges - branching	124    Sponges - branching
18956	1	Acropora palmata	Elkhorn coral	101    Acropora palmata
19056	1	Hypoplectrus indigo	Indigo hamlet	460    Hypoplectrus indigo
34521	1	Siderastrea siderea	Smooth starlet coral	403    Siderastrea siderea
37911	2	Acanthurus bahianus	Ocean surgeonfish	310    Acanthurus bahianus
38011	1	Manicina areolata	Rose coral	409    Manicina areolata
20056	2	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
48589	1	Holacanthus tricolor	Rock beauty	281    Holacanthus tricolor
48590	1	Holacanthus ciliaris	Queen angelfish	670    Holacanthus ciliaris
48600	2	Cephalopholis fulvus	Coney	473    Cephalopholis fulvus
61369	2	Siderastrea siderea	Smooth starlet coral	403    Siderastrea siderea
61370	1	Eusmilia fastigiata	Flower coral	386    Eusmilia fastigiata
63271	2	Haemulon sciurus	Bluestriped grunt	439    Haemulon sciurus
72831	1	Holacanthus tricolor	Rock beauty	281    Holacanthus tricolor
2776	2	Halimeda incrassata	Green algae - calcified	209    Halimeda incrassata
17186	2	Dendrogyra cylindrus	Pillar coral	110    Dendrogyra cylindrus
19794	2	Stegastes leucostictus	Beaugregory	454    Stegastes leucostictus
19804	1	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
474	2	Porites furcata	Finger coral	111    Porites furcata
8614	1	Bodianus rufus	Spanish hogfish	485    Bodianus rufus
20794	2	Pomadasyidae	Grunt	647    Pomadasyidae
6253	2	Pomadasyidae	Grunt	647    Pomadasyidae
20804	1	Rhodophycota	Red algae - coarse branched	217    Rhodophycota
7874	1	Chromis cyanea	Blue chromis	658    Chromis cyanea
46151	1	Acropora cervicornis	Staghorn coral	102    Acropora cervicornis
49437	2	Haemulon sciurus	Bluestriped grunt	439    Haemulon sciurus
50437	3	Ocyurus chrysurus	Yellowtail snapper	438    Ocyurus chrysurus
57844	1	Panulirus argus	Caribbean spiny lobster	599    Panulirus argus
58884	2	Chaetodon capistratus	Foureye butterflyfish	604    Chaetodon capistratus
73783	2		Sponges - vase	122    Sponges - vase
16515	1		Sponges - tube	123    Sponges - tube
24964	2	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
25064	1	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
28441	1		Sponges - tube	123    Sponges - tube
17384	3		Sea fans	118    Sea fans
31368	3		Sponges - encrusting	40     Sponges - encrusting
42674	2	Caranx ruber	Bar jack	429    Caranx ruber
63422	1	Porites porites	Club finger coral	56     Porites porites
66571	2	Solenastrea bournoni	Smooth star coral	408    Solenastrea bournoni
69382	1		Sponges - plate	676    Sponges - plate
70382	1	Chaetodon striatus	Banded Butterflyfish	278    Chaetodon striatus
19853	1	Dichocoenia stokesii	Elliptical star coral	112    Dichocoenia stokesii
20853	1		Sponges - barrel	121    Sponges - barrel
32311	2		Sponges - branching	124    Sponges - branching
18232	1	Microspathodon chrysurus	Yellowtail damselfish	451    Microspathodon chrysurus
13189	2	Dictyota sp.	Brown algae - fine branched	225    Dictyota sp.
13190	3	Pomadasyidae	Grunt	647    Pomadasyidae
13200	4	Scarus taeniopterus	Princess parrotfish	480    Scarus taeniopterus
32283	1	Dictyota sp.	Brown algae - fine branched	225    Dictyota sp.
33686	1	Eusmilia fastigiata	Flower coral	386    Eusmilia fastigiata
35417	2	Colpophyllia natans	Giant brain coral	104    Colpophyllia natans
37459	1		Sponges - massive	651    Sponges - massive
37460	2	Echinoidea	Short-spined sea urchin	646    Echinoidea
44375	2	Dichocoenia stokesii	Elliptical star coral	112    Dichocoenia stokesii
53683	1	Gorgonia ventalina	Common sea fan	664    Gorgonia ventalina
54593	1	Lutjanus mahogoni	Mahogany snapper	433    Lutjanus mahogoni
54603	1	Abudefduf saxatilis	Sergeant major	457    Abudefduf saxatilis
15797	1	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
15807	2	Udotea wilsonii	Green algae - blade like	202    Udotea wilsonii
39694	2	Udotea cyathiformis	Green algae - cup like	205    Udotea cyathiformis
39704	1	Sargassum sp.	Brown algae	230    Sargassum sp.
40694	1		Sponges - vase	122    Sponges - vase
40704	1	Pomacanthus paru	French angelfish	153    Pomacanthus paru
58648	2	Porites astreoides	Mustard hill coral	116    Porites astreoides
68351	1	Gorgonia ventalina	Common sea fan	664    Gorgonia ventalina
18128	2	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
19749	1	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
19750	1	Colpophyllia natans	Giant brain coral	104    Colpophyllia natans
20749	1	Porites astreoides	Mustard hill coral	116    Porites astreoides
20750	1	Millepora sp	Fire 'coral'	117    Millepora sp
22428	1	Halimeda goreaui	Green algae - calcified	212    Halimeda goreaui
7753	3	Gobiidae	Gobies	166    Gobiidae
32789	1	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
32790	1	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
32800	1		Sponges - vase	122    Sponges - vase
36327	1		Sponges - branching	124    Sponges - branching
36497	2	Labridae	Wrasse	654    Labridae
36507	1	Serranida	Hamlets/Seabass	174    Serranida
39215	1	Porites furcata	Finger coral	111    Porites furcata
40215	1		Sponges - branching	124    Sponges - branching
49396	2	Porites porites	Club finger coral	56     Porites porites
49406	1	Solenastrea bournoni	Smooth star coral	408    Solenastrea bournoni
49975	4	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
50396	1	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
50406	3	Haemulon striatum	Striped grunt	507    Haemulon striatum
50975	2	Stegastes partitus	Bicolor damselfish	455    Stegastes partitus
51075	1	Sabellidae	Feather duster worm	60     Sabellidae
53127	1	Apogon townsendi	Belted cardinalfish	491    Apogon townsendi
54696	2	Halichoeres garnoti	Yellowhead wrasse	488    Halichoeres garnoti
54706	1	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
59547	1	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
60547	2	Chaetodontidae	Butterflyfish	157    Chaetodontidae
69441	1	Halichoeres bivittatus	Slippery dick	74     Halichoeres bivittatus
70441	3	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
8033	3	Acanthuridae	Surgeonfish	160    Acanthuridae
9487	2	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
23664	1		Anemones	637    Anemones
4617	1	Millepora sp	Fire 'coral'	117    Millepora sp
27654	2	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
38917	1	Penicillus capitatus	Green algae - brush like	195    Penicillus capitatus
39017	1	Rhodophycota	Red algae - sheet-like	215    Rhodophycota
7933	3	Chaetodon capistratus	Foureye butterflyfish	604    Chaetodon capistratus
46868	2	Porites astreoides	Mustard hill coral	116    Porites astreoides
40017	1	Ulva	Green algae - ulva species	185    Ulva
58822	1	Mycetophyllia lamarckiana	Fungus coral	49     Mycetophyllia lamarckiana
1052	2	Halimeda tuna	Green algae - calcified	214    Halimeda tuna
1862	1		Sponges - sheet like	125    Sponges - sheet like
32131	1	Holacanthus tricolor	Rock beauty	281    Holacanthus tricolor
38228	1		Sponges - tube	123    Sponges - tube
6181	2	Rhodophycota	Red algae - fine branched	216    Rhodophycota
62574	1	Acanthurus bahianus	Ocean surgeonfish	310    Acanthurus bahianus
68994	2		Anemones	637    Anemones
69094	1	Favia fragum	Golfball coral	70     Favia fragum
69104	1	Oreaster reticulatus	Cushion sea star	592    Oreaster reticulatus
70094	1	Gorgonion	Branching gorgonion	59     Gorgonion
70104	1	Centropyge argi	Cherubfish	426    Centropyge argi
8843	1	Dictyota sp.	Brown algae - fine branched	225    Dictyota sp.
17193	2	Millepora sp	Fire 'coral'	117    Millepora sp
17203	1		Sponges - encrusting	40     Sponges - encrusting
53629	3	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
53630	2	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
68492	1		Sponges - vase	122    Sponges - vase
68502	2	Acanthurus bahianus	Ocean surgeonfish	310    Acanthurus bahianus
71958	4	Agaricia	Sheet coral	672    Agaricia
72058	2	Ocyurus chrysurus	Yellowtail snapper	438    Ocyurus chrysurus
72945	2	Chromis cyanea	Blue chromis	658    Chromis cyanea
73045	2	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
15759	1	Udotea occidentalis	Green algae - blade like	203    Udotea occidentalis
15760	1	Udotea cyathiformis	Green algae - cup like	205    Udotea cyathiformis
12872	1	Stegastes partitus	Bicolor damselfish	455    Stegastes partitus
23637	3	Halimeda opuntia	Green algae - calcified	210    Halimeda opuntia
38887	1	Mycetophyllia ferox	Grooved fungus coral	420    Mycetophyllia ferox
51293	2	Halimeda copiosa	Green algae - calcified	213    Halimeda copiosa
51303	2	Scolymia lacera	Solitary disk coral	404    Scolymia lacera
51962	2		Sponges - encrusting	40     Sponges - encrusting
52062	1	Ocyurus chrysurus	Yellowtail snapper	438    Ocyurus chrysurus
56157	2	Haemulon aurolineatum	Tomtate grunt	446    Haemulon aurolineatum
65964	2	Halimeda tuna	Green algae - calcified	214    Halimeda tuna
66064	2		Branching rods	662    Branching rods
69261	1	Acanthurus chirurgus	Doctorfish	427    Acanthurus chirurgus
70261	2	Halichoeres garnoti	Yellowhead wrasse	488    Halichoeres garnoti
23484	1	Anisotremus virginicus	Porkfish	450    Anisotremus virginicus
14742	2		Sponges - branching	124    Sponges - branching
33855	1	Diploria labyrinthiformis	Grooved brain coral	105    Diploria labyrinthiformis
